Class	Field	Type	Description
ExcelScript.RangeFormat	getFont()	Method	Returns the font object defined on the overall range.
ExcelScript.RangeFormat	getHorizontalAlignment()	Method	Represents the horizontal alignment for the specified object.
ExcelScript.RangeFormat	getIndentLevel()	Method	An integer from 0 to 250 that indicates the indent level.
ExcelScript.RangeFormat	getProtection()	Method	Returns the format protection object for a range.
ExcelScript.RangeFormat	getRangeBorder(index)	Method	Gets a border object using its name.
ExcelScript.RangeFormat	getRangeBorderTintAndShade()	Method	Specifies a double that lightens or darkens a color for range borders.
ExcelScript.RangeFormat	getReadingOrder()	Method	The reading order for the range.
ExcelScript.RangeFormat	getRowHeight()	Method	The height of all rows in the range.
ExcelScript.RangeFormat	getShrinkToFit()	Method	Specifies if text automatically shrinks to fit in the available column width.
ExcelScript.RangeFormat	getTextOrientation()	Method	The text orientation of all the cells within the range.
ExcelScript.RangeFormat	getUseStandardHeight()	Method	Determines if the row height of the `Range` object equals the standard height of the sheet.
ExcelScript.RangeFormat	getUseStandardWidth()	Method	Specifies if the column width of the `Range` object equals the standard width of the sheet.
ExcelScript.RangeFormat	getVerticalAlignment()	Method	Represents the vertical alignment for the specified object.
ExcelScript.RangeFormat	getWrapText()	Method	Specifies if Excel wraps the text in the object.
ExcelScript.RangeFormat	setAutoIndent(autoIndent)	Method	Specifies if text is automatically indented when text alignment is set to equal distribution.
ExcelScript.RangeFormat	setColumnWidth(columnWidth)	Method	Specifies the width of all colums within the range.
ExcelScript.RangeFormat	setHorizontalAlignment(horizontalAlignment)	Method	Represents the horizontal alignment for the specified object.
ExcelScript.RangeFormat	setIndentLevel(indentLevel)	Method	An integer from 0 to 250 that indicates the indent level.
ExcelScript.RangeFormat	setRangeBorderTintAndShade(rangeBorderTintAndShade)	Method	Specifies a double that lightens or darkens a color for range borders.
ExcelScript.RangeFormat	setReadingOrder(readingOrder)	Method	The reading order for the range.
ExcelScript.RangeFormat	setRowHeight(rowHeight)	Method	The height of all rows in the range.
ExcelScript.RangeFormat	setShrinkToFit(shrinkToFit)	Method	Specifies if text automatically shrinks to fit in the available column width.
ExcelScript.RangeFormat	setTextOrientation(textOrientation)	Method	The text orientation of all the cells within the range.
ExcelScript.RangeFormat	setUseStandardHeight(useStandardHeight)	Method	Determines if the row height of the `Range` object equals the standard height of the sheet.
ExcelScript.RangeFormat	setUseStandardWidth(useStandardWidth)	Method	Specifies if the column width of the `Range` object equals the standard width of the sheet.
ExcelScript.RangeFormat	setVerticalAlignment(verticalAlignment)	Method	Represents the vertical alignment for the specified object.
ExcelScript.RangeFormat	setWrapText(wrapText)	Method	Specifies if Excel wraps the text in the object.
ExcelScript.RangeHyperlink		Class	Represents the necessary strings to get/set a hyperlink (XHL) object.
ExcelScript.RangeHyperlink	address	Property	Represents the URL target for the hyperlink.
ExcelScript.RangeHyperlink	documentReference	Property	Represents the document reference target for the hyperlink.
ExcelScript.RangeHyperlink	screenTip	Property	Represents the string displayed when hovering over the hyperlink.
ExcelScript.RangeHyperlink	textToDisplay	Property	Represents the string that is displayed in the top left most cell in the range.
ExcelScript.RangeSort		Class	Manages sorting operations on `Range` objects.
ExcelScript.RangeSort	apply(fields	Method	Perform a sort operation.
ExcelScript.RangeUnderlineStyle		Class	
ExcelScript.RangeUnderlineStyle	double	EnumField	
ExcelScript.RangeUnderlineStyle	doubleAccountant	EnumField	
ExcelScript.RangeUnderlineStyle	none	EnumField	
ExcelScript.RangeUnderlineStyle	single	EnumField	
ExcelScript.RangeUnderlineStyle	singleAccountant	EnumField	
ExcelScript.RangeValue		Class	
ExcelScript.RangeValueType		Class	
ExcelScript.RangeValueType	boolean	EnumField	
ExcelScript.RangeValueType	double	EnumField	
ExcelScript.RangeValueType	empty	EnumField	
ExcelScript.RangeValueType	error	EnumField	
ExcelScript.RangeValueType	integer	EnumField	
ExcelScript.RangeValueType	richValue	EnumField	
ExcelScript.RangeValueType	string	EnumField	
ExcelScript.RangeValueType	unknown	EnumField	
ExcelScript.RangeView		Class	RangeView represents a set of visible cells of the parent range.
ExcelScript.RangeView	getCellAddresses()	Method	Represents the cell addresses of the `RangeView`<!-- -->.
ExcelScript.RangeView	getColumnCount()	Method	The number of visible columns.
ExcelScript.RangeView	getFormulas()	Method	Represents the formula in A1-style notation.
ExcelScript.RangeView	getFormulasLocal()	Method	Represents the formula in A1-style notation  in the user's language and number-formatting locale.
ExcelScript.RangeView	getFormulasR1C1()	Method	Represents the formula in R1C1-style notation.
ExcelScript.RangeView	getIndex()	Method	Returns a value that represents the index of the `RangeView`<!-- -->.
ExcelScript.RangeView	getNumberFormat()	Method	Represents Excel's number format code for the given cell.
ExcelScript.RangeView	getRange()	Method	Gets the parent range associated with the current `RangeView`<!-- -->.
ExcelScript.RangeView	getRowCount()	Method	The number of visible rows.
ExcelScript.RangeView	getRows()	Method	Represents a collection of range views associated with the range.
ExcelScript.RangeView	getText()	Method	Text values of the specified range.
ExcelScript.RangeView	getValues()	Method	Represents the raw values of the specified range view.
ExcelScript.RangeView	getValueTypes()	Method	Represents the type of data of each cell.
ExcelScript.RangeView	setFormulas(formulas)	Method	Represents the formula in A1-style notation.
ExcelScript.RangeView	setFormulasLocal(formulasLocal)	Method	Represents the formula in A1-style notation  in the user's language and number-formatting locale.
ExcelScript.RangeView	setFormulasR1C1(formulasR1C1)	Method	Represents the formula in R1C1-style notation.
ExcelScript.RangeView	setNumberFormat(numberFormat)	Method	Represents Excel's number format code for the given cell.
ExcelScript.RangeView	setValues(values)	Method	Represents the raw values of the specified range view.
ExcelScript.ReadingOrder		Class	
ExcelScript.ReadingOrder	context	EnumField	Reading order is determined by the language of the first character entered.
ExcelScript.ReadingOrder	leftToRight	EnumField	Left to right reading order
ExcelScript.ReadingOrder	rightToLeft	EnumField	Right to left reading order
ExcelScript.RemoveDuplicatesResult		Class	Represents the results from `Range.removeDuplicates`<!-- -->.
ExcelScript.RemoveDuplicatesResult	getRemoved()	Method	Number of duplicated rows removed by the operation.
ExcelScript.RemoveDuplicatesResult	getUniqueRemaining()	Method	Number of remaining unique rows present in the resulting range.
ExcelScript.ReplaceCriteria		Class	Represents the replace criteria to be used.
ExcelScript.ReplaceCriteria	completeMatch	Property	Specifies if the match needs to be complete or partial.
ExcelScript.ReplaceCriteria	matchCase	Property	Specifies if the match is case-sensitive.
ExcelScript.RowColumnPivotHierarchy		Class	Represents the Excel RowColumnPivotHierarchy.
ExcelScript.RowColumnPivotHierarchy	getFields()	Method	Returns the PivotFields associated with the RowColumnPivotHierarchy.
ExcelScript.RowColumnPivotHierarchy	getId()	Method	ID of the RowColumnPivotHierarchy.
ExcelScript.RowColumnPivotHierarchy	getName()	Method	Name of the RowColumnPivotHierarchy.
ExcelScript.RowColumnPivotHierarchy	getPivotField(name)	Method	Gets a PivotField by name.
ExcelScript.RowColumnPivotHierarchy	getPosition()	Method	Position of the RowColumnPivotHierarchy.
ExcelScript.RowColumnPivotHierarchy	setName(name)	Method	Name of the RowColumnPivotHierarchy.
ExcelScript.RowColumnPivotHierarchy	setPosition(position)	Method	Position of the RowColumnPivotHierarchy.
ExcelScript.RowColumnPivotHierarchy	setToDefault()	Method	Reset the RowColumnPivotHierarchy back to its default values.
ExcelScript.SearchCriteria		Class	Represents the search criteria to be used.
ExcelScript.SearchCriteria	completeMatch	Property	Specifies if the match needs to be complete or partial.
ExcelScript.SearchCriteria	matchCase	Property	Specifies if the match is case-sensitive.
ExcelScript.SearchCriteria	searchDirection	Property	Specifies the search direction.
ExcelScript.SearchDirection		Class	Specifies the search direction.
ExcelScript.SearchDirection	backwards	EnumField	Search in reverse order.
ExcelScript.SearchDirection	forward	EnumField	Search in forward order.
ExcelScript.Shape		Class	Represents a generic shape object in the worksheet.
ExcelScript.Shape	copyTo(destinationSheet)	Method	Copies and pastes a `Shape` object.
ExcelScript.Shape	delete()	Method	Removes the shape from the worksheet.
ExcelScript.Shape	getAltTextDescription()	Method	Specifies the alternative description text for a `Shape` object.
ExcelScript.Shape	getAltTextTitle()	Method	Specifies the alternative title text for a `Shape` object.
ExcelScript.Shape	getAsImage(format)	Method	Converts the shape to an image and returns the image as a base64-encoded string.
ExcelScript.Shape	getConnectionSiteCount()	Method	Returns the number of connection sites on this shape.
ExcelScript.Shape	getFill()	Method	Returns the fill formatting of this shape.
ExcelScript.Shape	getGeometricShape()	Method	Returns the geometric shape associated with the shape.
ExcelScript.Shape	getGeometricShapeType()	Method	Specifies the geometric shape type of this geometric shape.
ExcelScript.Shape	getGroup()	Method	Returns the shape group associated with the shape.
ExcelScript.Shape	getHeight()	Method	Specifies the height  in points  of the shape.
ExcelScript.Shape	getId()	Method	Specifies the shape identifier.
ExcelScript.Shape	getImage()	Method	Returns the image associated with the shape.
ExcelScript.Shape	getImageAsBase64(format)	Method	Converts the shape to an image and returns the image as a base64-encoded string.
ExcelScript.Shape	getLeft()	Method	The distance  in points  from the left side of the shape to the left side of the worksheet.
ExcelScript.Shape	getLevel()	Method	Specifies the level of the specified shape.
ExcelScript.Shape	getLine()	Method	Returns the line associated with the shape.
ExcelScript.Shape	getLineFormat()	Method	Returns the line formatting of this shape.
ExcelScript.Shape	getLockAspectRatio()	Method	Specifies if the aspect ratio of this shape is locked.
ExcelScript.Shape	getName()	Method	Specifies the name of the shape.
ExcelScript.Shape	getParentGroup()	Method	Specifies the parent group of this shape.
ExcelScript.Shape	getPlacement()	Method	Represents how the object is attached to the cells below it.
ExcelScript.Shape	getRotation()	Method	Specifies the rotation  in degrees  of the shape.
ExcelScript.Shape	getTextFrame()	Method	Returns the text frame object of this shape.
ExcelScript.Shape	getTop()	Method	The distance  in points  from the top edge of the shape to the top edge of the worksheet.
ExcelScript.Shape	getType()	Method	Returns the type of this shape.
ExcelScript.Shape	getVisible()	Method	Specifies if the shape is visible.
ExcelScript.Shape	getWidth()	Method	Specifies the width  in points  of the shape.
ExcelScript.Shape	getZOrderPosition()	Method	Returns the position of the specified shape in the z-order  with 0 representing the bottom of the order stack.
ExcelScript.Shape	incrementLeft(increment)	Method	Moves the shape horizontally by the specified number of points.
ExcelScript.Shape	incrementRotation(increment)	Method	Rotates the shape clockwise around the z-axis by the specified number of degrees.
ExcelScript.Shape	incrementTop(increment)	Method	Moves the shape vertically by the specified number of points.
ExcelScript.Shape	scaleHeight(scaleFactor	Method	Scales the height of the shape by a specified factor.
ExcelScript.Shape	scaleWidth(scaleFactor	Method	Scales the width of the shape by a specified factor.
ExcelScript.Shape	setAltTextDescription(altTextDescription)	Method	Specifies the alternative description text for a `Shape` object.
ExcelScript.Shape	setAltTextTitle(altTextTitle)	Method	Specifies the alternative title text for a `Shape` object.
ExcelScript.Shape	setGeometricShapeType(geometricShapeType)	Method	Specifies the geometric shape type of this geometric shape.
ExcelScript.Shape	setHeight(height)	Method	Specifies the height  in points  of the shape.
ExcelScript.Shape	setLeft(left)	Method	The distance  in points  from the left side of the shape to the left side of the worksheet.
ExcelScript.Shape	setLockAspectRatio(lockAspectRatio)	Method	Specifies if the aspect ratio of this shape is locked.
ExcelScript.Shape	setName(name)	Method	Specifies the name of the shape.
ExcelScript.Shape	setPlacement(placement)	Method	Represents how the object is attached to the cells below it.
ExcelScript.Shape	setRotation(rotation)	Method	Specifies the rotation  in degrees  of the shape.
ExcelScript.Shape	setTop(top)	Method	The distance  in points  from the top edge of the shape to the top edge of the worksheet.
ExcelScript.Shape	setVisible(visible)	Method	Specifies if the shape is visible.
ExcelScript.Shape	setWidth(width)	Method	Specifies the width  in points  of the shape.
ExcelScript.Shape	setZOrder(position)	Method	Moves the specified shape up or down the collection's z-order  which shifts it in front of or behind other shapes.
ExcelScript.ShapeAutoSize		Class	Determines the type of automatic sizing allowed.
ExcelScript.ShapeAutoSize	autoSizeMixed	EnumField	A combination of automatic sizing schemes are used.
ExcelScript.ShapeAutoSize	autoSizeNone	EnumField	No autosizing.
ExcelScript.ShapeAutoSize	autoSizeShapeToFitText	EnumField	The shape is adjusted to fit the text.
ExcelScript.ShapeAutoSize	autoSizeTextToFitShape	EnumField	The text is adjusted to fit the shape.
ExcelScript.ShapeFill		Class	Represents the fill formatting of a shape object.
ExcelScript.ShapeFill	clear()	Method	Clears the fill formatting of this shape.
ExcelScript.ShapeFill	getForegroundColor()	Method	"Represents the shape fill foreground color in HTML color format  in the form \#RRGGBB (e.g.  ""FFA500"") or as a named HTML color (e.g.  ""orange"")"
ExcelScript.ShapeFill	getTransparency()	Method	Specifies the transparency percentage of the fill as a value from 0.0 (opaque) through 1.0 (clear).
ExcelScript.ShapeFill	getType()	Method	Returns the fill type of the shape.
ExcelScript.ShapeFill	setForegroundColor(foregroundColor)	Method	"Represents the shape fill foreground color in HTML color format  in the form \#RRGGBB (e.g.  ""FFA500"") or as a named HTML color (e.g.  ""orange"")"
ExcelScript.ShapeFill	setSolidColor(color)	Method	Sets the fill formatting of the shape to a uniform color.
ExcelScript.ShapeFill	setTransparency(transparency)	Method	Specifies the transparency percentage of the fill as a value from 0.0 (opaque) through 1.0 (clear).
ExcelScript.ShapeFillType		Class	Specifies a shape's fill type.
ExcelScript.ShapeFillType	gradient	EnumField	Gradient fill.
ExcelScript.ShapeFillType	mixed	EnumField	Mixed fill.
ExcelScript.ShapeFillType	noFill	EnumField	No fill.
ExcelScript.ShapeFillType	pattern	EnumField	Pattern fill.
ExcelScript.ShapeFillType	pictureAndTexture	EnumField	Picture and texture fill.
ExcelScript.ShapeFillType	solid	EnumField	Solid fill.
ExcelScript.ShapeFont		Class	Represents the font attributes  such as font name  font size  and color  for a shape's `TextRange` object.
ExcelScript.ShapeFont	getBold()	Method	Represents the bold status of font.
ExcelScript.ShapeFont	getColor()	Method	"HTML color code representation of the text color (e.g.  ""\#FF0000"" represents red)."
ExcelScript.ShapeFont	getItalic()	Method	Represents the italic status of font.
ExcelScript.ShapeFont	getName()	Method	"Represents font name (e.g.  ""Calibri"")."
ExcelScript.ShapeFont	getSize()	Method	Represents font size in points (e.g.  11).
ExcelScript.ShapeFont	getUnderline()	Method	Type of underline applied to the font.
ExcelScript.ShapeFont	setBold(bold)	Method	Represents the bold status of font.
ExcelScript.ShapeFont	setColor(color)	Method	"HTML color code representation of the text color (e.g.  ""\#FF0000"" represents red)."
ExcelScript.ShapeFont	setItalic(italic)	Method	Represents the italic status of font.
ExcelScript.ShapeFont	setName(name)	Method	"Represents font name (e.g.  ""Calibri"")."
ExcelScript.ShapeFont	setSize(size)	Method	Represents font size in points (e.g.  11).
ExcelScript.ShapeFont	setUnderline(underline)	Method	Type of underline applied to the font.
ExcelScript.ShapeFontUnderlineStyle		Class	The type of underline applied to a font.
ExcelScript.ShapeFontUnderlineStyle	dash	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dashHeavy	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dashLong	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dashLongHeavy	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dotDash	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dotDashHeavy	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dotDotDash	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dotDotDashHeavy	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dotted	EnumField	
ExcelScript.ShapeFontUnderlineStyle	dottedHeavy	EnumField	
ExcelScript.ShapeFontUnderlineStyle	double	EnumField	
ExcelScript.ShapeFontUnderlineStyle	heavy	EnumField	
ExcelScript.ShapeFontUnderlineStyle	none	EnumField	
ExcelScript.ShapeFontUnderlineStyle	single	EnumField	
ExcelScript.ShapeFontUnderlineStyle	wavy	EnumField	
ExcelScript.ShapeFontUnderlineStyle	wavyDouble	EnumField	
ExcelScript.ShapeFontUnderlineStyle	wavyHeavy	EnumField	
ExcelScript.ShapeGroup		Class	Represents a shape group inside a worksheet.
ExcelScript.ShapeGroup	getGroupShape()	Method	Returns the `Shape` object associated with the group.
ExcelScript.ShapeGroup	getId()	Method	Specifies the shape identifier.
ExcelScript.ShapeGroup	getShape(key)	Method	Gets a shape using its name or ID.
ExcelScript.ShapeGroup	getShapes()	Method	Returns the collection of `Shape` objects.
ExcelScript.ShapeGroup	ungroup()	Method	Ungroups any grouped shapes in the specified shape group.
ExcelScript.ShapeLineDashStyle		Class	The dash style for a line.
ExcelScript.ShapeLineDashStyle	dash	EnumField	
ExcelScript.ShapeLineDashStyle	dashDot	EnumField	
ExcelScript.ShapeLineDashStyle	dashDotDot	EnumField	
ExcelScript.ShapeLineDashStyle	longDash	EnumField	
ExcelScript.ShapeLineDashStyle	longDashDot	EnumField	
ExcelScript.ShapeLineDashStyle	longDashDotDot	EnumField	
ExcelScript.ShapeLineDashStyle	roundDot	EnumField	
ExcelScript.ShapeLineDashStyle	solid	EnumField	
ExcelScript.ShapeLineDashStyle	squareDot	EnumField	
ExcelScript.ShapeLineDashStyle	systemDash	EnumField	
ExcelScript.ShapeLineDashStyle	systemDashDot	EnumField	
ExcelScript.ShapeLineDashStyle	systemDot	EnumField	
ExcelScript.ShapeLineFormat		Class	Represents the line formatting for the shape object.
ExcelScript.ShapeLineFormat	getColor()	Method	"Represents the line color in HTML color format  in the form \#RRGGBB (e.g.  ""FFA500"") or as a named HTML color (e.g.  ""orange"")."
ExcelScript.ShapeLineFormat	getDashStyle()	Method	Represents the line style of the shape.
ExcelScript.ShapeLineFormat	getStyle()	Method	Represents the line style of the shape.
ExcelScript.ShapeLineFormat	getTransparency()	Method	Represents the degree of transparency of the specified line as a value from 0.0 (opaque) through 1.0 (clear).
ExcelScript.ShapeLineFormat	getVisible()	Method	Specifies if the line formatting of a shape element is visible.
ExcelScript.ShapeLineFormat	getWeight()	Method	Represents the weight of the line  in points.
ExcelScript.ShapeLineFormat	setColor(color)	Method	"Represents the line color in HTML color format  in the form \#RRGGBB (e.g.  ""FFA500"") or as a named HTML color (e.g.  ""orange"")."
ExcelScript.ShapeLineFormat	setDashStyle(dashStyle)	Method	Represents the line style of the shape.
ExcelScript.ShapeLineFormat	setStyle(style)	Method	Represents the line style of the shape.
ExcelScript.ShapeLineFormat	setTransparency(transparency)	Method	Represents the degree of transparency of the specified line as a value from 0.0 (opaque) through 1.0 (clear).
ExcelScript.ShapeLineFormat	setVisible(visible)	Method	Specifies if the line formatting of a shape element is visible.
ExcelScript.ShapeLineFormat	setWeight(weight)	Method	Represents the weight of the line  in points.
ExcelScript.ShapeLineStyle		Class	The style for a line.
ExcelScript.ShapeLineStyle	single	EnumField	Single line.
ExcelScript.ShapeLineStyle	thickBetweenThin	EnumField	Thick line with a thin line on each side.
ExcelScript.ShapeLineStyle	thickThin	EnumField	Thick line next to thin line.
ExcelScript.ShapeLineStyle	thinThick	EnumField	Thick line next to thin line.
ExcelScript.ShapeLineStyle	thinThin	EnumField	Two thin lines.
ExcelScript.ShapeScaleFrom		Class	Specifies which part of the shape retains its position when the shape is scaled.
ExcelScript.ShapeScaleFrom	scaleFromBottomRight	EnumField	
ExcelScript.ShapeScaleFrom	scaleFromMiddle	EnumField	
ExcelScript.ShapeScaleFrom	scaleFromTopLeft	EnumField	
ExcelScript.ShapeScaleType		Class	Specifies whether the shape is scaled relative to its original or current size.
ExcelScript.ShapeScaleType	currentSize	EnumField	
ExcelScript.ShapeScaleType	originalSize	EnumField	
ExcelScript.ShapeTextHorizontalAlignment		Class	Specifies the horizontal alignment for the text frame in a shape.
ExcelScript.ShapeTextHorizontalAlignment	center	EnumField	
ExcelScript.ShapeTextHorizontalAlignment	distributed	EnumField	
ExcelScript.ShapeTextHorizontalAlignment	justify	EnumField	
ExcelScript.ShapeTextHorizontalAlignment	justifyLow	EnumField	
ExcelScript.ShapeTextHorizontalAlignment	left	EnumField	
ExcelScript.ShapeTextHorizontalAlignment	right	EnumField	
ExcelScript.ShapeTextHorizontalAlignment	thaiDistributed	EnumField	
ExcelScript.ShapeTextHorizontalOverflow		Class	Specifies the horizontal overflow for the text frame in a shape.
ExcelScript.ShapeTextHorizontalOverflow	clip	EnumField	
ExcelScript.ShapeTextHorizontalOverflow	overflow	EnumField	
ExcelScript.ShapeTextOrientation		Class	Specifies the orientation for the text frame in a shape.
ExcelScript.ShapeTextOrientation	eastAsianVertical	EnumField	
ExcelScript.ShapeTextOrientation	horizontal	EnumField	
ExcelScript.ShapeTextOrientation	mongolianVertical	EnumField	
ExcelScript.ShapeTextOrientation	vertical	EnumField	
ExcelScript.ShapeTextOrientation	vertical270	EnumField	
ExcelScript.ShapeTextOrientation	wordArtVertical	EnumField	
ExcelScript.ShapeTextOrientation	wordArtVerticalRTL	EnumField	
ExcelScript.ShapeTextReadingOrder		Class	Specifies the reading order for the text frame in a shape.
ExcelScript.ShapeTextReadingOrder	leftToRight	EnumField	
ExcelScript.ShapeTextReadingOrder	rightToLeft	EnumField	
ExcelScript.ShapeTextVerticalAlignment		Class	Specifies the vertical alignment for the text frame in a shape.
ExcelScript.ShapeTextVerticalAlignment	bottom	EnumField	
ExcelScript.ShapeTextVerticalAlignment	distributed	EnumField	
ExcelScript.ShapeTextVerticalAlignment	justified	EnumField	
ExcelScript.ShapeTextVerticalAlignment	middle	EnumField	
ExcelScript.ShapeTextVerticalAlignment	top	EnumField	
ExcelScript.ShapeTextVerticalOverflow		Class	Specifies the vertical overflow for the text frame in a shape.
ExcelScript.ShapeTextVerticalOverflow	clip	EnumField	Hide text that does not fit vertically within the text frame.
ExcelScript.ShapeTextVerticalOverflow	ellipsis	EnumField	Hide text that does not fit vertically within the text frame  and add an ellipsis (...) at the end of the visible text.
ExcelScript.ShapeTextVerticalOverflow	overflow	EnumField	Allow text to overflow the text frame vertically (can be from the top  bottom  or both depending on the text alignment).
ExcelScript.ShapeType		Class	Specifies the type of a shape.
ExcelScript.ShapeType	geometricShape	EnumField	
ExcelScript.ShapeType	group	EnumField	
ExcelScript.ShapeType	image	EnumField	
ExcelScript.ShapeType	line	EnumField	
ExcelScript.ShapeType	unsupported	EnumField	
ExcelScript.ShapeZOrder		Class	Specifies where in the z-order a shape should be moved relative to other shapes.
ExcelScript.ShapeZOrder	bringForward	EnumField	
ExcelScript.ShapeZOrder	bringToFront	EnumField	
ExcelScript.ShapeZOrder	sendBackward	EnumField	
ExcelScript.ShapeZOrder	sendToBack	EnumField	
ExcelScript.SheetVisibility		Class	
ExcelScript.SheetVisibility	hidden	EnumField	
ExcelScript.SheetVisibility	veryHidden	EnumField	
ExcelScript.SheetVisibility	visible	EnumField	
ExcelScript.ShowAsCalculation		Class	The ShowAs calculation function for the DataPivotField.
ExcelScript.ShowAsCalculation	differenceFrom	EnumField	Difference from the specified Base field and Base item.
ExcelScript.ShowAsCalculation	index	EnumField	Calculates the values as follows: ((value in cell) x
ExcelScript.ShowAsCalculation	none	EnumField	No calculation is applied.
ExcelScript.ShowAsCalculation	percentDifferenceFrom	EnumField	Difference from the specified Base field and Base item.
ExcelScript.ShowAsCalculation	percentOf	EnumField	Percent of the specified Base field and Base item.
ExcelScript.ShowAsCalculation	percentOfColumnTotal	EnumField	Percent of the column total.
ExcelScript.ShowAsCalculation	percentOfGrandTotal	EnumField	Percent of the grand total.
ExcelScript.ShowAsCalculation	percentOfParentColumnTotal	EnumField	Percent of the column total for the specified Base field.
ExcelScript.ShowAsCalculation	percentOfParentRowTotal	EnumField	Percent of the row total for the specified Base field.
ExcelScript.ShowAsCalculation	percentOfParentTotal	EnumField	Percent of the grand total for the specified Base field.
ExcelScript.ShowAsCalculation	percentOfRowTotal	EnumField	Percent of the row total.
ExcelScript.ShowAsCalculation	percentRunningTotal	EnumField	Percent running total of the specified Base field.
ExcelScript.ShowAsCalculation	rankAscending	EnumField	Ascending rank of the specified Base field.
ExcelScript.ShowAsCalculation	rankDecending	EnumField	Descending rank of the specified Base field.
ExcelScript.ShowAsCalculation	runningTotal	EnumField	Running total of the specified Base field.
ExcelScript.ShowAsCalculation	unknown	EnumField	Calculation is unknown or unsupported.
ExcelScript.ShowAsRule		Class	
ExcelScript.ShowAsRule	baseField	Property	The PivotField to base the `ShowAs` calculation on  if applicable according to the `ShowAsCalculation` type  else `null`<!-- -->.
ExcelScript.ShowAsRule	baseItem	Property	The item to base the `ShowAs` calculation on  if applicable according to the `ShowAsCalculation` type  else `null`<!-- -->.
ExcelScript.ShowAsRule	calculation	Property	The `ShowAs` calculation to use for the PivotField.
ExcelScript.Slicer		Class	Represents a `Slicer` object in the workbook.
ExcelScript.Slicer	clearFilters()	Method	Clears all the filters currently applied on the slicer.
ExcelScript.Slicer	delete()	Method	Deletes the slicer.
ExcelScript.Slicer	getCaption()	Method	Represents the caption of the slicer.
ExcelScript.Slicer	getHeight()	Method	Represents the height  in points  of the slicer.
ExcelScript.Slicer	getId()	Method	Represents the unique ID of the slicer.
ExcelScript.Slicer	getIsFilterCleared()	Method	Value is `true` if all filters currently applied on the slicer are cleared.
ExcelScript.Slicer	getLeft()	Method	Represents the distance  in points  from the left side of the slicer to the left of the worksheet.
ExcelScript.Slicer	getName()	Method	Represents the name of the slicer.
ExcelScript.Slicer	getSelectedItems()	Method	Returns an array of selected items' keys.
ExcelScript.Slicer	getSlicerItem(key)	Method	Gets a slicer item using its key or name.
ExcelScript.Slicer	getSlicerItems()	Method	Represents the collection of slicer items that are part of the slicer.
ExcelScript.Slicer	getSortBy()	Method	Represents the sort order of the items in the slicer.
ExcelScript.Slicer	getStyle()	Method	Constant value that represents the slicer style.
ExcelScript.Slicer	getTop()	Method	Represents the distance  in points  from the top edge of the slicer to the top of the worksheet.
ExcelScript.Slicer	getWidth()	Method	Represents the width  in points  of the slicer.
ExcelScript.Slicer	getWorksheet()	Method	Represents the worksheet containing the slicer.
ExcelScript.Slicer	selectItems(items)	Method	Selects slicer items based on their keys.
ExcelScript.Slicer	setCaption(caption)	Method	Represents the caption of the slicer.
ExcelScript.Slicer	setHeight(height)	Method	Represents the height  in points  of the slicer.
ExcelScript.Slicer	setLeft(left)	Method	Represents the distance  in points  from the left side of the slicer to the left of the worksheet.
ExcelScript.Slicer	setName(name)	Method	Represents the name of the slicer.
ExcelScript.Slicer	setSortBy(sortBy)	Method	Represents the sort order of the items in the slicer.
ExcelScript.Slicer	setStyle(style)	Method	Constant value that represents the slicer style.
ExcelScript.Slicer	setTop(top)	Method	Represents the distance  in points  from the top edge of the slicer to the top of the worksheet.
ExcelScript.Slicer	setWidth(width)	Method	Represents the width  in points  of the slicer.
ExcelScript.SlicerItem		Class	Represents a slicer item in a slicer.
ExcelScript.SlicerItem	getHasData()	Method	Value is `true` if the slicer item has data.
ExcelScript.SlicerItem	getIsSelected()	Method	Value is `true` if the slicer item is selected.
ExcelScript.SlicerItem	getKey()	Method	Represents the unique value representing the slicer item.
ExcelScript.SlicerItem	getName()	Method	Represents the title displayed in the Excel UI.
ExcelScript.SlicerItem	setIsSelected(isSelected)	Method	Value is `true` if the slicer item is selected.
ExcelScript.SlicerSortType		Class	Specifies the slicer sort behavior for `Slicer.sortBy`<!-- -->.
ExcelScript.SlicerSortType	ascending	EnumField	Sort slicer items in ascending order by item captions.
ExcelScript.SlicerSortType	dataSourceOrder	EnumField	Sort slicer items in the order provided by the data source.
ExcelScript.SlicerSortType	descending	EnumField	Sort slicer items in descending order by item captions.
ExcelScript.SlicerStyle		Class	Represents a slicer style  which defines style elements by region of the slicer.
ExcelScript.SlicerStyle	delete()	Method	Deletes the slicer style.
ExcelScript.SlicerStyle	duplicate()	Method	Creates a duplicate of this slicer style with copies of all the style elements.
ExcelScript.SlicerStyle	getName()	Method	Gets the name of the slicer style.
ExcelScript.SlicerStyle	getReadOnly()	Method	Specifies if this `SlicerStyle` object is read-only.
ExcelScript.SlicerStyle	setName(name)	Method	Gets the name of the slicer style.
ExcelScript.SortBy		Class	Represents the sort direction.
ExcelScript.SortBy	ascending	EnumField	Ascending sort.
